player_id,player_name,season,fbref_player,age,birth_year,nation,position,position_group,squad,competition,foot,height_in_cm,market_value_eur,highest_market_value_in_eur,valuation_date,tm_match_method,tm_match_score,source_file,MP,Starts,Min,90s,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,TklW_per90,Int_per90,Blocks_per90,Clr_per90,Touches_per90,Carries_per90,Mis_per90,Dis_per90,Rec_per90,Recov_per90,AerWon_per90,AerLost_per90
203938,Branco van den Boomen,2022_2023,Branco van den Boomen,27.0,1995,NED,MF,MF,Toulouse,Ligue 1,right,188.0,12000000,12000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,22.0,22.0,1925.0,21.4,0.23364485981308414,0.33,0.0,,0.0,1.21,9.44,3.22,1.78,0.7499999999999999,2.76,1.68,1.82,0.79,0.37,0.9300000000000002,0.7499999999999999,74.2,51.79999999999999,0.98,0.37,49.7,6.03,0.28,0.51
546880,Brandon Soppy,2022_2023,Brandon Soppy,20.0,2002,FRA,DF,DF,Udinese / Atalanta,Serie A,right,180.0,9000000,10000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,11.0,8.0,613.0,6.8,0.0,0.4435294117647059,0.0,,0.0,3.530882352941177,4.562941176470588,4.852941176470589,1.0276470588235294,0.29205882352941176,1.4711764705882353,1.1791176470588236,1.0255882352941177,0.5905882352941176,0.4370588235294118,1.765294117647059,1.1791176470588236,54.22647058823529,31.038235294117648,1.910588235294118,1.0320588235294117,31.17941176470588,7.20264705882353,0.4370588235294118,0.29
159098,Brecht Dejaegere,2022_2023,Brecht Dejaegere,31.0,1991,BEL,MF,MF,Toulouse,Ligue 1,right,173.0,1800000,4000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,18.0,16.0,1199.0,13.3,0.3007518796992481,0.08,0.0,,0.0,2.03,4.74,3.76,1.28,0.45,0.53,1.13,1.73,0.9,0.83,1.05,0.38,40.8,29.5,1.73,0.68,27.9,4.21,0.53,1.05
237662,Breel Embolo,2022_2023,Breel Embolo,25.0,1997,SUI,FW,FW,Monaco,Ligue 1,right,187.0,20000000,22000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,23.0,17.0,1542.0,17.1,0.7017543859649122,0.12,0.0,,0.0,0.99,2.4,7.25,1.99,0.99,1.46,0.88,0.76,0.47000000000000003,0.29,0.58,0.7,33.5,24.7,3.27,2.22,26.1,2.87,1.58,2.05
250779,Brendan Chardonnet,2022_2023,Brendan Chardonnet,28.0,1994,FRA,DF,DF,Brest,Ligue 1,right,181.0,5000000,8000000,2023-06-27,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,18.0,17.0,1575.0,17.5,0.0,0.0,0.0,,0.0,0.11,2.74,0.11,0.46,0.060000000000000005,0.34,0.4,1.66,0.9699999999999999,2.06,1.43,2.8,57.1,38.5,0.29,0.11,34.5,4.74,2.91,1.37
393323,Brenden Aaronson,2022_2023,Brenden Aaronson,22.0,2000,USA,MFFW,MF,Leeds United,Premier League,right,177.0,25000000,30000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,20.0,19.0,1596.0,17.7,0.05649717514124294,0.11,0.0,,0.0,1.53,3.22,5.65,1.53,0.28,1.75,0.45,1.64,0.51,0.05999999999999999,1.69,0.28,44.0,26.7,2.6,3.11,30.2,4.86,0.34,1.19
470607,Brennan Johnson,2022_2023,Brennan Johnson,21.0,2001,WAL,FW,FW,Nott'ham Forest,Premier League,right,186.0,38000000,48000000,2023-06-20,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,22.0,20.0,1796.0,20.0,0.25,0.1,0.0,,0.0,2.65,1.2,4.8,1.6,0.8,0.9,0.6,0.9,0.7,0.1,1.05,0.05,24.8,13.8,2.35,0.65,15.8,2.7,0.65,1.75
598765,Brian Ocampo,2022_2023,Brian Ocampo,23.0,1999,URU,MFFW,MF,Cádiz,Liga,right,172.0,2000000,4000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,17.0,14.0,1058.0,11.8,0.0847457627118644,0.08,0.0,,0.0,3.22,1.95,6.61,1.1,0.17,1.36,1.36,1.44,1.27,0.17,1.1,0.25,39.4,26.0,2.29,2.29,27.7,7.37,0.59,1.1
166677,Brian Oliván,2022_2023,Brian Oliván,28.0,1994,ESP,DF,DF,Espanyol,Liga,left,175.0,6000000,6000000,2023-06-13,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,19.0,19.0,1651.0,18.3,0.0,0.27,0.0,,0.0,1.9100000000000001,3.06,5.08,0.55,0.10999999999999999,1.26,1.09,1.97,1.09,0.82,1.09,2.35,49.8,22.8,0.93,0.27,25.7,5.79,0.71,1.31
644676,Bruno Amione,2022_2023,Bruno Amione,21.0,2002,ARG,DF,DF,Hellas Verona / Sampdoria,Serie A,left,187.0,2700000,3000000,2023-06-15,exact_name_birth_year,100,2022-2023 Football Player Stats.csv,11.0,11.0,848.0,9.4,0.0,0.10297872340425532,0.0,,0.0,0.21531914893617024,2.3404255319148937,0.6365957446808511,0.5336170212765957,0.10297872340425532,0.21531914893617024,0.31829787234042556,2.55,1.5951063829787238,1.1702127659574468,1.1738297872340426,2.663191489361702,56.42340425531915,26.02340425531915,0.8519148936170213,0.0,26.73212765957447,5.530851063829787,3.19595744680851,1.7038297872340427
