player_id,player_name,age,birth_year,nation,position,position_group,squad,competition,market_value_eur,Min,90s,Gls_per90,Ast_per90,xG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,PPA_per90,Tkl_per90,Int_per90,Blocks_per90,Touches_per90,Carries_per90
340329,Joe Willock,24.0,1999,eng ENG,"MF,FW",MF,Newcastle Utd,eng Premier League,22000000,1086.0,12.1,0.0,0.1652892561983471,0.1322314049586777,0.17355371900826447,3.1404958677685952,3.388429752066116,7.107438016528926,1.4876033057851241,0.24793388429752067,1.8181818181818183,0.6611570247933884,2.479338842975207,0.49586776859504134,0.6611570247933884,44.049586776859506,26.859504132231407
173491,Joel Pohjanpalo,29.0,1994,fi FIN,FW,FW,Venezia,it Serie A,3500000,1603.0,17.8,0.33707865168539325,0.0,0.42134831460674155,0.09550561797752809,0.5056179775280899,1.6292134831460674,4.044943820224719,1.9101123595505618,0.7303370786516854,0.8426966292134831,0.3932584269662921,0.16853932584269662,0.2247191011235955,0.28089887640449435,27.584269662921347,13.988764044943819
333241,Joelinton,27.0,1996,br BRA,"MF,FW",MF,Newcastle Utd,eng Premier League,35000000,2393.0,26.6,0.15037593984962405,0.11278195488721804,0.14661654135338345,0.09398496240601503,1.5037593984962405,4.360902255639098,4.135338345864661,1.6917293233082706,0.48872180451127817,0.8646616541353384,0.6390977443609023,2.142857142857143,0.8646616541353384,0.8646616541353384,51.127819548872175,27.406015037593985
262939,Johan Mojica,31.0,1992,co COL,DF,DF,Mallorca,es La Liga,2000000,2755.0,30.6,0.032679738562091505,0.06535947712418301,0.029411764705882353,0.13398692810457516,2.156862745098039,4.248366013071895,4.640522875816993,0.5555555555555556,0.09803921568627451,1.3071895424836601,1.7320261437908495,1.1437908496732025,0.8496732026143791,1.6666666666666665,63.69281045751634,33.4640522875817
532937,Johan Vásquez,25.0,1998,mx MEX,DF,DF,Genoa,it Serie A,10000000,3041.0,33.8,0.08875739644970415,0.0,0.07100591715976332,0.008875739644970414,1.0946745562130178,2.840236686390533,0.3550295857988166,1.0650887573964498,0.2366863905325444,0.20710059171597636,0.1775147928994083,1.656804733727811,1.4792899408284026,0.562130177514793,64.79289940828403,35.562130177514796
585973,Johann Lepenant,21.0,2002,fr FRA,MF,MF,Nantes,fr Ligue 1,6000000,2048.0,22.8,0.08771929824561403,0.043859649122807015,0.06140350877192982,0.039473684210526314,1.0964912280701753,3.9035087719298245,2.719298245614035,0.8771929824561403,0.21929824561403508,0.3508771929824561,0.5263157894736842,2.982456140350877,0.7894736842105263,1.3157894736842104,43.50877192982456,22.017543859649123
251303,Johannes Eggestein,26.0,1998,de GER,FW,FW,St. Pauli,de Bundesliga,800000,1853.0,20.6,0.14563106796116504,0.1941747572815534,0.22815533980582522,0.10194174757281553,1.2135922330097086,2.087378640776699,6.699029126213592,1.6504854368932038,0.48543689320388345,1.1650485436893203,0.4368932038834951,0.24271844660194172,0.0,1.3592233009708736,34.61165048543689,18.640776699029125
193116,John McGinn,29.0,1994,sct SCO,"MF,FW",MF,Aston Villa,eng Premier League,16000000,2223.0,24.7,0.04048582995951417,0.16194331983805668,0.12550607287449395,0.1417004048582996,1.2955465587044535,4.17004048582996,3.522267206477733,1.2550607287449393,0.20242914979757085,1.2550607287449393,1.174089068825911,1.3360323886639676,0.5668016194331984,0.688259109311741,43.40080971659919,23.522267206477732
186590,John Stones,30.0,1994,eng ENG,"DF,MF",DF,Manchester City,eng Premier League,25000000,548.0,6.1,0.3278688524590164,0.0,0.06557377049180328,0.01639344262295082,1.639344262295082,3.4426229508196724,0.3278688524590164,0.3278688524590164,0.3278688524590164,0.3278688524590164,0.0,0.9836065573770493,0.6557377049180328,0.3278688524590164,72.45901639344262,47.868852459016395
683812,John Tolkin,22.0,2002,us USA,"DF,MF",DF,Holstein Kiel,de Bundesliga,2500000,737.0,8.2,0.0,0.24390243902439027,0.012195121951219514,0.08536585365853659,0.7317073170731708,2.073170731707317,1.4634146341463417,0.3658536585365854,0.0,1.3414634146341464,0.6097560975609757,2.1951219512195124,0.9756097560975611,0.9756097560975611,58.41463414634147,21.219512195121954
439914,John Yeboah,24.0,2000,ec ECU,"FW,MF",FW,Venezia,it Serie A,1500000,1226.0,13.6,0.07352941176470588,0.07352941176470588,0.22058823529411764,0.13970588235294118,3.6764705882352944,3.088235294117647,6.470588235294118,2.2058823529411766,0.7352941176470589,1.4705882352941178,0.8823529411764706,0.4411764705882353,0.29411764705882354,1.0294117647058825,38.01470588235294,27.5
689505,Johnny Cardoso,22.0,2001,us USA,MF,MF,Betis,es La Liga,25000000,2144.0,23.8,0.12605042016806722,0.04201680672268907,0.08403361344537814,0.037815126050420166,0.7983193277310924,2.9831932773109244,1.1764705882352942,0.7983193277310924,0.29411764705882354,0.37815126050420167,0.1680672268907563,2.310924369747899,2.0168067226890756,0.8823529411764706,59.95798319327731,31.596638655462183
661145,Jon Aramburu,22.0,2002,ve VEN,DF,DF,Real Sociedad,es La Liga,5000000,2460.0,27.3,0.03663003663003663,0.03663003663003663,0.014652014652014652,0.040293040293040296,0.9523809523809523,3.553113553113553,1.9413919413919414,0.40293040293040294,0.10989010989010989,0.5494505494505494,0.40293040293040294,3.7362637362637363,1.0989010989010988,1.3553113553113554,69.12087912087912,31.025641025641026
289257,Jon Guridi,29.0,1995,es ESP,"MF,FW",MF,Alavés,es La Liga,4000000,2080.0,23.1,0.12987012987012986,0.04329004329004329,0.18181818181818182,0.051948051948051945,1.1688311688311688,3.41991341991342,3.896103896103896,0.9956709956709956,0.47619047619047616,0.7359307359307359,0.47619047619047616,1.7316017316017316,0.6060606060606061,0.7792207792207791,40.69264069264069,20.38961038961039
1018938,Jon Martín,18.0,2006,es ESP,DF,DF,Real Sociedad,es La Liga,8000000,904.0,10.0,0.0,0.1,0.06,0.02,0.4,3.4,0.0,0.9,0.1,0.4,0.2,1.1,0.7,0.3,67.7,37.5
552425,Jon Moncayola,26.0,1998,es ESP,MF,MF,Osasuna,es La Liga,7000000,2099.0,23.3,0.0,0.0,0.06866952789699571,0.15879828326180256,1.0729613733905579,4.592274678111588,2.188841201716738,0.9012875536480687,0.38626609442060084,1.4163090128755365,1.0729613733905579,3.004291845493562,0.4721030042918455,0.9012875536480687,51.41630901287554,24.506437768240342
580560,Jon Pacheco,23.0,2001,es ESP,DF,DF,Real Sociedad,es La Liga,6000000,854.0,9.5,0.0,0.0,0.010526315789473684,0.010526315789473684,1.263157894736842,2.8421052631578947,0.0,0.10526315789473684,0.0,0.10526315789473684,0.21052631578947367,1.5789473684210527,0.9473684210526315,0.5263157894736842,61.578947368421055,32.94736842105263
